Dates,NORMAL (mm) ,ACTUAL (mm) 
09-Dec-20,0.55,3.87
10-Dec-20,0.68,0.17
11-Dec-20,0.48,0.32
12-Dec-20,0.31,0.02
13-Dec-20,0.51,0
14-Dec-20,0.56,0
15-Dec-20,0.36,0
16-Dec-20,0.27,0
17-Dec-20,0.22,0
18-Dec-20,0.12,0.01
19-Dec-20,0.08,0
20-Dec-20,0.07,0
21-Dec-20,0.12,0
22-Dec-20,0.2,0
23-Dec-20,0.15,0
24-Dec-20,0.26,0.18
25-Dec-20,0.17,0.02
26-Dec-20,0.21,0
27-Dec-20,0.21,0
28-Dec-20,0.24,0
29-Dec-20,0.12,0
30-Dec-20,0.18,0
31-Dec-20,0.13,0.33
01-Jan-21,0.11,0.18
02-Jan-21,0.09,0
03-Jan-21,0.07,0.02
04-Jan-21,0.08,1.26
05-Jan-21,0.11,1.25
06-Jan-21,0.05,0.59
07-Jan-21,0.05,12.77
08-Jan-21,0.04,2.39
09-Jan-21,0.09,5.33
10-Jan-21,0.04,0.29
11-Jan-21,0.1,0
12-Jan-21,0.04,0.02
13-Jan-21,0.03,0.01
14-Jan-21,0.06,0.04
15-Jan-21,0.21,0.15
16-Jan-21,0.06,0
17-Jan-21,0.04,0.77
18-Jan-21,0.06,0
19-Jan-21,0.03,0
20-Jan-21,0.01,0
21-Jan-21,0.01,0
22-Jan-21,0.02,0
23-Jan-21,0.05,0
24-Jan-21,0.09,0
25-Jan-21,0.02,0
26-Jan-21,0.03,0
27-Jan-21,0.01,0
28-Jan-21,0.02,0
29-Jan-21,0.04,0
30-Jan-21,0.14,0
31-Jan-21,0.1,0
01-Feb-21,0.15,0
02-Feb-21,0.02,0
03-Feb-21,0.06,0
04-Feb-21,0.02,0
05-Feb-21,0.03,0
06-Feb-21,0.01,0
07-Feb-21,0.01,0
08-Feb-21,0.06,0
09-Feb-21,0.05,0
10-Feb-21,0.12,0
11-Feb-21,0.05,0
12-Feb-21,0.02,0
13-Feb-21,0.06,0
14-Feb-21,0.07,0
15-Feb-21,0.06,0
16-Feb-21,0.06,0
17-Feb-21,0.07,0
18-Feb-21,0.07,0.02
19-Feb-21,0.1,1.99
20-Feb-21,0.32,3.47
21-Feb-21,0.25,1.93
22-Feb-21,0.27,4.23
23-Feb-21,0.21,3.82
24-Feb-21,0.19,0.02
25-Feb-21,0.11,0.02
26-Feb-21,0.09,0.02
27-Feb-21,0.04,0
28-Feb-21,0.11,0
01-Mar-21,0.11,0
02-Mar-21,0.02,0
03-Mar-21,0.06,0
04-Mar-21,0.13,0
05-Mar-21,0.32,0
06-Mar-21,0.52,0
07-Mar-21,0.2,0
08-Mar-21,0.31,0
09-Mar-21,0.29,0
10-Mar-21,0.14,0
11-Mar-21,0.21,0.27
12-Mar-21,0.12,0.22
13-Mar-21,0.11,0
14-Mar-21,0.2,0
15-Mar-21,0.28,0
16-Mar-21,0.34,0
17-Mar-21,0.18,0.04
18-Mar-21,0.16,0
19-Mar-21,0.14,0
20-Mar-21,0.06,0
21-Mar-21,0.18,0.12
22-Mar-21,0.19,0.12
23-Mar-21,0.23,0.05
24-Mar-21,0.3,0
25-Mar-21,0.3,0.48
26-Mar-21,0.23,0.04
27-Mar-21,0.35,0.03
28-Mar-21,0.52,0.05
29-Mar-21,0.51,1
30-Mar-21,0.27,0.64
31-Mar-21,0.41,0
01-Apr-21,0.62,0.01
02-Apr-21,0.83,0.01
03-Apr-21,0.75,0
04-Apr-21,0.64,0
05-Apr-21,0.89,0.02
06-Apr-21,1.01,0.16
07-Apr-21,0.69,0.01
08-Apr-21,0.73,0.02
09-Apr-21,0.79,0.18
10-Apr-21,0.71,0.81
11-Apr-21,0.9,0.38
12-Apr-21,1.21,1.44
13-Apr-21,1.15,1.79
14-Apr-21,1.08,2.49
15-Apr-21,1.25,8.24
16-Apr-21,1.21,1.13
17-Apr-21,1.29,1.66
18-Apr-21,0.9,0.85
19-Apr-21,1.12,2.39
20-Apr-21,1.17,1.51
21-Apr-21,1.32,0.87
22-Apr-21,1.27,2.95
23-Apr-21,1.74,6.06
24-Apr-21,2.12,5.24
25-Apr-21,2.13,1.87
26-Apr-21,1.55,1.41
28-Apr-21,1.65,2.94
29-Apr-21,1.74,0.42
30-Apr-21,2.29,5.28
01-May-21,2.17,0.64
02-May-21,2.52,3.27
03-May-21,2.38,2.42
04-May-21,2.11,2.64
05-May-21,1.97,3.95
06-May-21,1.98,4.96
07-May-21,1.41,3.24
08-May-21,1.42,5.35
09-May-21,1.63,1.35
11-May-21,1.97,3.1
12-May-21,1.84,4.64
13-May-21,2.51,3.85
14-May-21,3.28,4.4
15-May-21,3.17,3.1
16-May-21,3.39,18.51
17-May-21,3.06,5.55
18-May-21,3.57,1.51
19-May-21,2.73,4.46
20-May-21,3.71,5.26
21-May-21,4.29,2.93
22-May-21,3.06,7.96
23-May-21,3.55,2.28
25-May-21,4.3,3.84
26-May-21,3.95,5.61
27-May-21,2.95,1.07
28-May-21,3.36,0.46
29-May-21,3.63,1.68
30-May-21,3.65,3.89
31-May-21,3.25,2.38
01-Jun-21,4.35,2.85
02-Jun-21,4.34,2.32
03-Jun-21,4.36,16.18
04-Jun-21,5.24,15.52
05-Jun-21,5.78,13.12
06-Jun-21,6.48,8.66
07-Jun-21,6.14,1.21
08-Jun-21,6.64,0.26
09-Jun-21,5.61,1.73
10-Jun-21,5.01,2.82
11-Jun-21,5.37,2.86
13-Jun-21,6.46,11.41
14-Jun-21,7.45,9.58
15-Jun-21,7.43,11.19
16-Jun-21,8.04,15.19
17-Jun-21,7.86,18.24
18-Jun-21,7.22,15.24
19-Jun-21,6.68,10.63
20-Jun-21,7.02,11.13
22-Jun-21,7.88,1.16
26-Jun-21,8.81,1.99
27-Jun-21,9.04,12.45
28-Jun-21,8.01,4.11
30-Jun-21,10.6,0.47
01-Jul-21,11.32,0.36
02-Jul-21,11.05,4.01
03-Jul-21,9.85,0.96
04-Jul-21,9.68,1.82
05-Jul-21,10.65,8.51
06-Jul-21,10.85,5.01
07-Jul-21,9.9,6.07
08-Jul-21,10.28,6.43
09-Jul-21,9.78,5.07
10-Jul-21,8.87,12.09
11-Jul-21,9.23,7.68
12-Jul-21,9.99,7.69
13-Jul-21,8.9,9.58
16-Jul-21,9.27,13.59
17-Jul-21,11.07,9.36
18-Jul-21,10.69,24.54
19-Jul-21,9.79,19.19
20-Jul-21,9.43,7.14
21-Jul-21,10.38,8.66
22-Jul-21,11.27,15.73
23-Jul-21,11.63,35.65
24-Jul-21,10.65,17.83
25-Jul-21,9.9,7.2
26-Jul-21,9.01,7.68
27-Jul-21,9.04,2.68
28-Jul-21,8.86,2.56
29-Jul-21,8.66,2.14
30-Jul-21,9.06,3.36
31-Jul-21,9.13,2.89
01-Aug-21,9.31,3.13
02-Aug-21,9.26,1.6
03-Aug-21,9.13,2.97
04-Aug-21,7.75,9.76
05-Aug-21,8.25,4.67
06-Aug-21,8.07,6.56
07-Aug-21,7.51,6.05
08-Aug-21,7.73,5.99
09-Aug-21,7.95,2.06
10-Aug-21,7.9,3.53
11-Aug-21,7.5,1.24
12-Aug-21,7.74,3.9
13-Aug-21,7.68,4.76
14-Aug-21,7.9,3.92
15-Aug-21,8.21,2.73
16-Aug-21,8.06,4.15
17-Aug-21,7.5,6.24
18-Aug-21,7.1,5.08
19-Aug-21,6.59,6.29
20-Aug-21,6.89,3.29
21-Aug-21,6.93,1.36
22-Aug-21,6.62,8.96
23-Aug-21,6.39,9.35
24-Aug-21,5.87,4.54
25-Aug-21,5.54,5.06
26-Aug-21,4.84,3.39
27-Aug-21,4.37,5.83
28-Aug-21,4.7,9.21
29-Aug-21,4.75,13.93
30-Aug-21,4.65,9.99
31-Aug-21,4.63,5.3
01-Sep-21,4.32,2.87
02-Sep-21,4.95,4.63
03-Sep-21,4.5,8.46
04-Sep-21,4.55,8.63
05-Sep-21,4.24,9.5
06-Sep-21,4.43,12.15
07-Sep-21,4.02,7.82
08-Sep-21,3.7,7.47
09-Sep-21,4.16,4.56
10-Sep-21,4.25,1.66
11-Sep-21,4.56,2.25
12-Sep-21,4.7,7.7
13-Sep-21,3.81,6.24
14-Sep-21,3.97,7.42
15-Sep-21,4.66,2.45
16-Sep-21,5.38,1.02
17-Sep-21,6.99,0.26
18-Sep-21,6.26,0.1
19-Sep-21,7.7,0.39
20-Sep-21,6.96,1.69
21-Sep-21,7.07,10.48
22-Sep-21,6.64,6.67
23-Sep-21,6.49,4.54
24-Sep-21,6.81,5.06
25-Sep-21,4.76,4.6
26-Sep-21,6.16,4.38
27-Sep-21,6.65,2.03
28-Sep-21,5.95,8.22
29-Sep-21,6.14,3.93
30-Sep-21,6,2.04
01-Oct-21,5.99,4.28
02-Oct-21,7.14,14.05
03-Oct-21,5.86,4.63
04-Oct-21,5.09,4.91
05-Oct-21,4.95,6.73
06-Oct-21,5.61,13.72
07-Oct-21,5.32,14.72
08-Oct-21,6.05,5.92
09-Oct-21,6.04,7.85
10-Oct-21,4.56,10.11
11-Oct-21,4.53,7.08
12-Oct-21,3.62,14.29
13-Oct-21,3.6,12.97
14-Oct-21,3.55,3.66
15-Oct-21,3.78,2.15
16-Oct-21,3.19,3.14
17-Oct-21,3.2,6.7
18-Oct-21,3.55,1.91
19-Oct-21,3.27,0.96
20-Oct-21,3.91,0.19
21-Oct-21,3.51,7.43
22-Oct-21,4.03,8.37
23-Oct-21,3.87,3.91
24-Oct-21,3.87,12.98
25-Oct-21,3.43,7.83
26-Oct-21,3.01,2.04
27-Oct-21,4.46,1.17
28-Oct-21,3.4,0.06
29-Oct-21,2.83,0.08
30-Oct-21,2.66,2.11
31-Oct-21,1.85,1.44
01-Nov-21,2.01,2.1
02-Nov-21,2.68,4.09
03-Nov-21,2.03,1.85
04-Nov-21,1.88,2.69
05-Nov-21,2.55,7.76
06-Nov-21,2.37,7.28
07-Nov-21,2.56,3.73
08-Nov-21,2.94,0.48
09-Nov-21,1.53,1.33
10-Nov-21,1.14,0.07
11-Nov-21,1.07,0.54
12-Nov-21,1.47,7.67
13-Nov-21,1.69,5.35
14-Nov-21,1.3,10.57
15-Nov-21,1.27,9.41
16-Nov-21,1.06,7.87
17-Nov-21,1,12.16
18-Nov-21,0.74,6.92
19-Nov-21,1.1,22.8
20-Nov-21,1.14,20.33
21-Nov-21,1.24,11.27
22-Nov-21,1.68,3.45
23-Nov-21,1.57,3.84
24-Nov-21,0.85,3.57
25-Nov-21,0.66,2.13
26-Nov-21,0.76,0.17
27-Nov-21,0.3,0.16
28-Nov-21,0.47,0.3
29-Nov-21,0.8,0.4
30-Nov-21,0.64,2.61
01-Dec-21,0.5,1.92
02-Dec-21,0.42,4.61
03-Dec-21,0.79,2.57
04-Dec-21,0.86,4.62
05-Dec-21,0.45,3.15
06-Dec-21,0.47,0.19
07-Dec-21,0.25,0.35
08-Dec-21,0.34,0.02
09-Dec-21,0.55,0
10-Dec-21,0.68,1.58
11-Dec-21,0.48,0.05
12-Dec-21,0.31,0.19
13-Dec-21,0.51,0.11
14-Dec-21,0.56,0.5
15-Dec-21,0.36,0.06
16-Dec-21,0.27,0.03
17-Dec-21,0.22,0
18-Dec-21,0.12,0
19-Dec-21,0.08,0
20-Dec-21,0.07,0
21-Dec-21,0.12,0
22-Dec-21,0.2,0
23-Dec-21,0.15,0
24-Dec-21,0.26,0
25-Dec-21,0.17,0
26-Dec-21,0.21,0
27-Dec-21,0.21,0
28-Dec-21,0.24,0
29-Dec-21,0.12,0
30-Dec-21,0.18,0
31-Dec-21,0.13,0.06
01-Jan-22,0.11,0.29
02-Jan-22,0.09,0.04
03-Jan-22,0.07,0
04-Jan-22,0.08,0
05-Jan-22,0.11,0
06-Jan-22,0.05,0
07-Jan-22,0.05,0
08-Jan-22,0.04,0
09-Jan-22,0.09,0.03
10-Jan-22,0.04,0.09
11-Jan-22,0.1,0.08
12-Jan-22,0.04,0.02
13-Jan-22,0.03,0.04
14-Jan-22,0.06,0
15-Jan-22,0.21,0.01
16-Jan-22,0.06,0.01
17-Jan-22,0.04,0.01
18-Jan-22,0.06,0.15
19-Jan-22,0.03,0
20-Jan-22,0.01,0
21-Jan-22,0.01,0
22-Jan-22,0.02,0
23-Jan-22,0.05,0
24-Jan-22,0.09,0.01
25-Jan-22,0.02,0
26-Jan-22,0.03,0.01
27-Jan-22,0.01,0.09
28-Jan-22,0.02,0.01
29-Jan-22,0.04,0
30-Jan-22,0.14,0
31-Jan-22,0.1,0
01-Feb-22,0.15,0
02-Feb-22,0.02,0
03-Feb-22,0.06,0
04-Feb-22,0.02,0
05-Feb-22,0.03,0
06-Feb-22,0.01,0
07-Feb-22,0.01,0
08-Feb-22,0.06,0
09-Feb-22,0.05,0
10-Feb-22,0.12,0
11-Feb-22,0.05,0
12-Feb-22,0.02,0
13-Feb-22,0.06,0
14-Feb-22,0.07,0
16-Feb-22,0.06,0
17-Feb-22,0.07,0.02
18-Feb-22,0.07,0.01
19-Feb-22,0.1,0
20-Feb-22,0.32,0
21-Feb-22,0.25,0
22-Feb-22,0.27,0
23-Feb-22,0.21,0
24-Feb-22,0.19,0
25-Feb-22,0.11,0
26-Feb-22,0.09,0
27-Feb-22,0.04,0
28-Feb-22,0.11,0
01-Mar-22,0.11,0
02-Mar-22,0.02,0
03-Mar-22,0.06,0
04-Mar-22,0.13,0
05-Mar-22,0.32,0
06-Mar-22,0.52,0
07-Mar-22,0.2,0
08-Mar-22,0.31,0
09-Mar-22,0.29,0.08
10-Mar-22,0.14,0
11-Mar-22,0.21,0.12
12-Mar-22,0.12,0.02
13-Mar-22,0.11,0
14-Mar-22,0.2,0
15-Mar-22,0.28,0
16-Mar-22,0.34,0
17-Mar-22,0.18,0
18-Mar-22,0.16,0
19-Mar-22,0.14,1.21
20-Mar-22,0.06,1.8
22-Mar-22,0.19,2.02
23-Mar-22,0.23,0.33
24-Mar-22,0.3,2.5
25-Mar-22,0.3,1.97
26-Mar-22,0.23,0.97
27-Mar-22,0.35,1.06
28-Mar-22,0.52,0.55
29-Mar-22,0.51,0.32
30-Mar-22,0.27,0.48
31-Mar-22,0.41,0.51
01-Apr-22,0.62,0.26
02-Apr-22,0.83,0.72
04-Apr-22,0.64,0.35
05-Apr-22,0.89,0.31
06-Apr-22,1.01,1.31
08-Apr-22,0.73,0.68
09-Apr-22,0.79,0.46
10-Apr-22,0.71,1.59
11-Apr-22,0.9,1.79
12-Apr-22,1.21,0.04
13-Apr-22,1.15,0.16
14-Apr-22,1.08,5.61
15-Apr-22,1.25,6.88
16-Apr-22,1.21,1.17
17-Apr-22,1.29,7.98
18-Apr-22,0.9,3.43
19-Apr-22,1.12,5.44
20-Apr-22,1.17,3.45
21-Apr-22,1.32,0
22-Apr-22,1.27,2.62
23-Apr-22,1.74,1.45
24-Apr-22,2.12,0.4
25-Apr-22,2.13,0.15
26-Apr-22,1.55,3.8
27-Apr-22,1.9,0.42
28-Apr-22,1.65,0.23
29-Apr-22,1.74,4.49
30-Apr-22,2.29,1.47
01-May-22,2.17,2.1
02-May-22,2.52,2.68
03-May-22,2.38,0.24
04-May-22,2.11,2.94
05-May-22,1.97,7.44
06-May-22,1.98,4.02
07-May-22,1.41,3.66
08-May-22,1.42,2.31
09-May-22,1.63,4.46
10-May-22,1.71,2.14
11-May-22,1.97,2.13
12-May-22,1.84,4.61
13-May-22,2.51,6.99
14-May-22,3.28,2.19
15-May-22,3.17,2.93
16-May-22,3.39,1.51
17-May-22,3.06,17.89
18-May-22,3.57,23.42
19-May-22,2.73,32.48
20-May-22,3.71,31.03
21-May-22,4.29,9.38
22-May-22,3.06,0.16
23-May-22,3.55,1.09
24-May-22,4.18,0.03
25-May-22,4.3,0.67
26-May-22,3.95,0.31
27-May-22,2.95,1.68
28-May-22,3.36,0.26
29-May-22,3.63,0.27
30-May-22,3.65,0.3
31-May-22,3.25,3.51
01-Jun-22,4.35,4.29
02-Jun-22,4.34,1.36
03-Jun-22,4.36,7.92
04-Jun-22,5.24,3.45
05-Jun-22,5.78,3.01
06-Jun-22,6.48,13.71
07-Jun-22,6.14,1.67
08-Jun-22,6.64,1.44
09-Jun-22,5.61,3.04
10-Jun-22,5.01,0.5
11-Jun-22,5.37,1.79
12-Jun-22,5.86,2.7
13-Jun-22,6.46,4.61
14-Jun-22,7.45,1.22
15-Jun-22,7.43,8.27
16-Jun-22,8.04,3.29
17-Jun-22,7.86,10.12
18-Jun-22,7.22,7.85
19-Jun-22,6.68,5.52
20-Jun-22,7.02,4.79
21-Jun-22,7.24,5.72
22-Jun-22,7.88,6.46
23-Jun-22,8.74,4.13
24-Jun-22,8.89,6.14
25-Jun-22,8.73,4.08
26-Jun-22,8.81,4.21
27-Jun-22,9.04,3.83
28-Jun-22,8.01,3.3
29-Jun-22,9.2,7.4
30-Jun-22,10.6,7.61
01-Jul-22,11.32,11.09
02-Jul-22,11.05,12.89
03-Jul-22,9.85,9.32
04-Jul-22,9.68,13.03
05-Jul-22,10.65,16.35
06-Jul-22,10.85,24.04
07-Jul-22,9.9,19.6
08-Jul-22,10.28,19.96
09-Jul-22,9.78,16.92
10-Jul-22,8.87,21.65
11-Jul-22,9.23,11.52
12-Jul-22,9.99,15.5
13-Jul-22,8.9,15.81
14-Jul-22,9.59,18.09
15-Jul-22,9.78,13.1
18-Jul-22,10.69,12.88
19-Jul-22,9.79,3.29
20-Jul-22,9.43,1.51
21-Jul-22,10.38,5.25
22-Jul-22,11.27,1.61
23-Jul-22,11.63,5.88
24-Jul-22,10.65,3.99
25-Jul-22,9.9,2.27
26-Jul-22,9.01,5.8
27-Jul-22,9.04,3.87
28-Jul-22,8.86,18.36
29-Jul-22,8.66,5.06
30-Jul-22,9.06,16.61
31-Jul-22,9.13,10.2
01-Aug-22,9.31,9.67
02-Aug-22,9.26,30.48
03-Aug-22,9.13,18.35
04-Aug-22,7.75,13.61
05-Aug-22,8.25,21.31
06-Aug-22,8.07,15.24
07-Aug-22,7.51,13.74
08-Aug-22,7.73,14.64
09-Aug-22,7.95,16.76
10-Aug-22,7.9,7.46
11-Aug-22,7.5,8.71
12-Aug-22,7.74,9.11
13-Aug-22,7.68,4.15
14-Aug-22,7.9,2.67
15-Aug-22,8.21,2.32
16-Aug-22,8.06,1.7
17-Aug-22,7.5,0.73
18-Aug-22,7.1,0.84
19-Aug-22,6.59,1.4
20-Aug-22,6.89,1.5
21-Aug-22,6.93,3.31
22-Aug-22,6.62,4.52
23-Aug-22,6.39,6.97
24-Aug-22,5.87,5.39
25-Aug-22,5.54,8.09
26-Aug-22,4.84,10.47
27-Aug-22,4.37,19.37
28-Aug-22,4.7,14.24
29-Aug-22,4.75,11.22
30-Aug-22,4.65,24.24
31-Aug-22,4.63,5.34
01-Sep-22,4.32,11.98
02-Sep-22,4.95,12.95
03-Sep-22,4.5,1.76
04-Sep-22,4.55,4.42
05-Sep-22,4.24,17.98
06-Sep-22,4.43,25.24
07-Sep-22,4.02,19.69
08-Sep-22,3.7,12.32
09-Sep-22,4.16,6.94
10-Sep-22,4.25,7.6
11-Sep-22,4.56,10.08
12-Sep-22,4.7,8.98
13-Sep-22,3.81,5.49
14-Sep-22,3.97,3.48
15-Sep-22,4.66,2.35
16-Sep-22,5.38,2.23
17-Sep-22,6.99,1.14
18-Sep-22,6.26,0.86
19-Sep-22,7.7,0.94
20-Sep-22,6.96,0.67
21-Sep-22,7.07,0.89
22-Sep-22,6.64,0.32
23-Sep-22,6.49,0.12
24-Sep-22,6.81,1.6
25-Sep-22,4.76,0.97
26-Sep-22,6.16,2.72
27-Sep-22,6.65,2.56
28-Sep-22,5.95,0.6
29-Sep-22,6.14,4.31
30-Sep-22,6,11.88
01-Oct-22,5.99,13.1
02-Oct-22,7.14,11.69
03-Oct-22,5.86,3
04-Oct-22,5.09,1.52
05-Oct-22,4.95,0.49
06-Oct-22,5.61,7.07
07-Oct-22,5.32,10.92
08-Oct-22,6.05,1.18
09-Oct-22,6.04,0.06
10-Oct-22,4.56,11.52
11-Oct-22,4.53,12.72
12-Oct-22,3.62,11.27
13-Oct-22,3.6,16.02
14-Oct-22,3.55,15.84
15-Oct-22,3.78,12.19
16-Oct-22,3.19,10.85
17-Oct-22,3.2,9.13
18-Oct-22,3.55,3.67
19-Oct-22,3.27,9.91
20-Oct-22,3.91,11.57
21-Oct-22,3.51,6.68
22-Oct-22,4.03,5.01
23-Oct-22,3.87,0.3
24-Oct-22,3.87,0.01
25-Oct-22,3.43,0
26-Oct-22,3.01,0
27-Oct-22,4.46,0
28-Oct-22,3.4,0
29-Oct-22,2.83,0.1
30-Oct-22,2.66,1.57
31-Oct-22,1.85,0.44
01-Nov-22,2.01,0
02-Nov-22,2.68,2.18
03-Nov-22,2.03,2.97
04-Nov-22,1.88,0.65
05-Nov-22,2.55,0.94
06-Nov-22,2.37,0.63
07-Nov-22,2.56,0.17
08-Nov-22,2.94,0
09-Nov-22,1.53,0
10-Nov-22,1.14,0
11-Nov-22,1.07,0.09
12-Nov-22,1.47,2
13-Nov-22,1.69,2.73
14-Nov-22,1.3,0.25
15-Nov-22,1.27,0.83
16-Nov-22,1.06,0.15
17-Nov-22,1,0
18-Nov-22,0.74,0
19-Nov-22,1.1,0
20-Nov-22,1.14,0
21-Nov-22,1.24,0
22-Nov-22,1.68,0.31
23-Nov-22,1.57,1.39
24-Nov-22,0.85,2.65
25-Nov-22,0.66,2.34
26-Nov-22,0.76,0.06
27-Nov-22,0.3,0.17
28-Nov-22,0.47,1.29
29-Nov-22,0.8,1.06
30-Nov-22,0.64,0.01
01-Dec-22,0.5,0
02-Dec-22,0.42,0.01
03-Dec-22,0.79,0.17
04-Dec-22,0.86,0.01
05-Dec-22,0.45,0.02
06-Dec-22,0.47,0
07-Dec-22,0.25,0
08-Dec-22,0.34,0
09-Dec-22,0.55,0.02
10-Dec-22,0.68,1.39
11-Dec-22,0.48,10.48
12-Dec-22,0.31,6.69
13-Dec-22,0.51,4.52
14-Dec-22,0.56,3.65
15-Dec-22,0.36,0.22
16-Dec-22,0.27,0
17-Dec-22,0.22,0
18-Dec-22,0.12,0
19-Dec-22,0.08,0
20-Dec-22,0.07,0
21-Dec-22,0.12,0
22-Dec-22,0.2,0
23-Dec-22,0.15,0
24-Dec-22,0.26,0
25-Dec-22,0.17,0
26-Dec-22,0.21,0.93
27-Dec-22,0.21,0.15
28-Dec-22,0.24,0.06
29-Dec-22,0.12,0
30-Dec-22,0.18,0
31-Dec-22,0.13,0
01-Jan-23,0.11,0
02-Jan-23,0.09,0
03-Jan-23,0.07,0
04-Jan-23,0.08,0
05-Jan-23,0.11,0
06-Jan-23,0.05,0
07-Jan-23,0.05,0
08-Jan-23,0.04,0
09-Jan-23,0.09,0
10-Jan-23,0.04,0
11-Jan-23,0.1,0
12-Jan-23,0.04,0
13-Jan-23,0.03,0
14-Jan-23,0.06,0
15-Jan-23,0.21,0
16-Jan-23,0.06,0
18-Jan-23,0.06,0
19-Jan-23,0.03,0
20-Jan-23,0.01,0
21-Jan-23,0.01,0
22-Jan-23,0.02,0
23-Jan-23,0.05,0
24-Jan-23,0.09,0
25-Jan-23,0.02,0.63
26-Jan-23,0.03,0.03
27-Jan-23,0.01,0
28-Jan-23,0.02,0
29-Jan-23,0.04,0
30-Jan-23,0.14,0
31-Jan-23,0.1,0.05
01-Feb-23,0.15,0
02-Feb-23,0.02,0
03-Feb-23,0.06,0
04-Feb-23,0.02,0.01
05-Feb-23,0.03,0
06-Feb-23,0.01,0
07-Feb-23,0.01,0
08-Feb-23,0.06,0
09-Feb-23,0.05,0
10-Feb-23,0.12,0
11-Feb-23,0.05,0
12-Feb-23,0.02,0
13-Feb-23,0.06,0
14-Feb-23,0.07,0
15-Feb-23,0.06,0
16-Feb-23,0.06,0
17-Feb-23,0.07,0
18-Feb-23,0.07,0
19-Feb-23,0.1,0
20-Feb-23,0.32,0
21-Feb-23,0.25,0
22-Feb-23,0.27,0
23-Feb-23,0.21,0
24-Feb-23,0.19,0
25-Feb-23,0.11,0
26-Feb-23,0.09,0
27-Feb-23,0.04,0
28-Feb-23,0.11,0
01-Mar-23,0.11,0
02-Mar-23,0.02,0
03-Mar-23,0.06,0
04-Mar-23,0.13,0
05-Mar-23,0.32,0
06-Mar-23,0.52,0
07-Mar-23,0.2,0
08-Mar-23,0.31,0
09-Mar-23,0.29,0
10-Mar-23,0.14,0
11-Mar-23,0.21,0
12-Mar-23,0.12,0
13-Mar-23,0.11,0
14-Mar-23,0.2,0
15-Mar-23,0.28,0.31
16-Mar-23,0.34,1.03
17-Mar-23,0.18,2.67
18-Mar-23,0.16,2.14
19-Mar-23,0.14,2.99
20-Mar-23,0.06,0.02
21-Mar-23,0.18,0.1
22-Mar-23,0.19,0.27
23-Mar-23,0.23,0
24-Mar-23,0.3,0
25-Mar-23,0.3,0.22
26-Mar-23,0.23,0.07
27-Mar-23,0.35,0.33
28-Mar-23,0.52,0
29-Mar-23,0.51,0.01
30-Mar-23,0.27,0.54
31-Mar-23,0.41,0.28
01-Apr-23,0.62,0.51
02-Apr-23,0.83,0.2
03-Apr-23,0.75,0.06
04-Apr-23,0.64,1.18
05-Apr-23,0.89,0.38
06-Apr-23,1.01,0.21
07-Apr-23,0.69,2.55
08-Apr-23,0.73,1.23
09-Apr-23,0.79,0.31
10-Apr-23,0.71,0.01
11-Apr-23,0.9,0.03
12-Apr-23,1.21,0
13-Apr-23,1.15,0
14-Apr-23,1.08,0.1
15-Apr-23,1.25,0.8
16-Apr-23,1.21,0.01
17-Apr-23,1.29,0.12
18-Apr-23,0.9,0
19-Apr-23,1.12,0
20-Apr-23,1.17,0.01
21-Apr-23,1.32,1.04
22-Apr-23,1.27,1.71
23-Apr-23,1.74,0.43
24-Apr-23,2.12,0.25
25-Apr-23,2.13,0.77
26-Apr-23,1.55,3.51
27-Apr-23,1.9,1.1
28-Apr-23,1.65,3.57
29-Apr-23,1.74,3.85
30-Apr-23,2.29,8.95
01-May-23,2.17,5.33
02-May-23,2.52,7.65
03-May-23,2.38,5.11
04-May-23,2.11,1.22
05-May-23,1.97,2.42
06-May-23,1.98,1.89
07-May-23,1.41,5.88
08-May-23,1.42,2.05
09-May-23,1.63,9.63
10-May-23,1.71,5.9
11-May-23,1.97,1.89
12-May-23,1.84,5.57
13-May-23,2.51,1.47
14-May-23,3.28,0.54
15-May-23,3.17,0
16-May-23,3.39,0
17-May-23,3.06,0.02
18-May-23,3.57,0.13
19-May-23,2.73,0.29
20-May-23,3.71,0.04
21-May-23,4.29,2.36
22-May-23,3.06,7.83
23-May-23,3.55,2.98
